node_id	pr_value
663930	0.00017255967735766385
482708	9.481450786302807e-05
1034017	5.4245688319078e-05
663559	4.987651987549182e-05
1120567	4.589499995562728e-05
357530	4.5425737492272905e-05
663605	4.2930391082102125e-05
663682	3.581787896981741e-05
664788	3.566459972879479e-05
1108860	3.492789825386844e-05
